Date,Holiday
2016-01-01,New Year's Day
2016-01-18,"Martin Luther King, Jr. Day"
2016-02-12,Lincoln's Birthday
2016-02-15,"Washington's Birthday, Susan B. Anthony Day"
2016-05-30,Memorial Day
2016-07-04,Independence Day
2016-09-05,Labor Day
2016-10-10,Columbus Day
2016-11-08,Election Day
2016-11-11,Veterans Day
2016-11-24,Thanksgiving
2016-12-25,Christmas Day
2016-12-26,Christmas Day (Observed)
2014-01-01,New Year's Day
2014-01-20,"Martin Luther King, Jr. Day"
2014-02-12,Lincoln's Birthday
2014-02-15,Susan B. Anthony Day
2014-02-17,Washington's Birthday
2014-05-26,Memorial Day
2014-07-04,Independence Day
2014-09-01,Labor Day
2014-10-13,Columbus Day
2014-11-04,Election Day
2014-11-11,Veterans Day
2014-11-27,Thanksgiving
2014-12-25,Christmas Day
2015-01-01,New Year's Day
2015-01-19,"Martin Luther King, Jr. Day"
2015-02-12,Lincoln's Birthday
2015-02-15,Susan B. Anthony Day
2015-02-16,Washington's Birthday
2015-05-25,Memorial Day
2015-07-04,Independence Day
2015-07-03,Independence Day (Observed)
2015-09-07,Labor Day
2015-10-12,Columbus Day
2015-11-03,Election Day
2015-11-11,Veterans Day
2015-11-26,Thanksgiving
2015-12-25,Christmas Day
